"Localidade";"Variável";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"ESTADO DE GOIÁS";"Produção de Ouro (kg)";"";"7.854";"11.560";"11.861";"6.246";"12.436";"11.233";"14.956";"6.280";"7.766";"6.605";"6.785";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Prata (t)";"";"255";"237";"408";"-";"-";"";"";"157";"233";"222";"234";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Quartzito para Cerâmica Branca (t)";"";"100";"-";"-";"-";"-";"";"";"";"";"39.958.331";"";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Quartzo (kg)";"";"20";"7";"-";"-";"-";"";"";"36";"36";"";"";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Rochas Ornamentais ()";"";"35.829";"39.640";"39.546";"35.282";"39.553";"42.601";"86.238";"67.866";"62.057";"70.528";"57.241";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Saibro ()";"";"816";"1.029";"-";"627";"500";"3.648";"1.830";"320";"";"28.655";"480";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Siltito para Cerâmica Branca (t)";"";"7.950";"11.096";"12.926";"39.774";"35.592";"44.280";"44.033";"42.310";"12.252";"12.218";"6.023";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Vermiculita (t)";"";"18.415";"16.732";"23.254";"16.266";"25.000";"54.500";"60.125";"110.164";"52.001";"52.166";"51.557";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Talco (t)";"";"";"";"";"";"";"1.224";"";"3.000";"1.412";"2.913";"";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Titânio (t)";"";"81.822";"21.532";"40.500";"9.274";"7.000";"1.000";"40";"28.608";"33.978";"9.700";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Ouro (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Prata (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Quartzito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Quartzo (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Rochas Ornamentais ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Saibro ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Siltito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Vermiculita (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Talco (t)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Abadia de Goiás";"Produção de Titânio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Ouro (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Prata (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Quartzito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"39.126";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Quartzo (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Rochas Ornamentais ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Saibro ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Siltito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Vermiculita (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadiânia";"Produção de Talco (t)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Abadiânia";"Produção de Titânio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Ouro (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Prata (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Quartzito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Quartzo (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Rochas Ornamentais ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Saibro ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Siltito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Vermiculita (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Acreúna";"Produção de Talco (t)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Acreúna";"Produção de Titânio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Ouro (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Prata (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Quartzito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Quartzo (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Rochas Ornamentais ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Saibro ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Siltito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Vermiculita (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Adelândia";"Produção de Talco (t)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Adelândia";"Produção de Titânio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Ouro (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Prata (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Quartzito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Quartzo (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Rochas Ornamentais ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Saibro ()";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Siltito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Vermiculita (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Fria de Goiás";"Produção de Talco (t)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Água Fria de Goiás";"Produção de Titânio (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Ouro (kg)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Prata (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Água Limpa";"Produção de Quartzito para Cerâmica Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
