"Localidade";"Variável";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"ESTADO DE GOIÁS";"Produção de Alumínio (t)";"";"";"";"";"";"";"10.365";"46.500";"13.114";"303.420";"371.789";"42.948";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Amianto (t)";"";"227.304";"254.204";"287.673";"288.452";"302.257";"306.321";"304.569";"290.826";"311.228";"232.052";"177.677";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Areia (m³)";"";"1.015.480";"1.046.670";"1.780.489";"1.324.850";"1.466.713";"2.099.230";"1.808.397";"2.133.225";"2.226.473";"2.358.328";"1.812.275";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Argila para Cerâmica  Branca (t)";"";"21.170";"19.938";"26.140";"31.433";"14.683";"13.473";"";"12.356";"8.719";"135";"54";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Argila para Cerâmica Vermelha (t)";"";"-";"-";"593.931";"703.319";"486.270";"395.437";"486.812";"472.275";"595.781";"400.552";"257.147";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Argila para Cerâmica (t)";"";"299.327";"385.767";"-";"-";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Argila para Cimento (t)";"";"51.505";"70.367";"88.600";"111.333";"200.100";"113.898";"137.233";"287.545";"425.974";"294.059";"189.328";"";"";"";"";"";"";"";"";""
"ESTADO DE GOIÁS";"Produção de Argila Refratária (t)";"";"4.355";"-";"-";"-";"367.876";"186.164";"14.882";"450";"675";"297";"54";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Alumínio (t)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Abadia de Goiás";"Produção de Amianto (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Areia (m³)";"";"";"";"";"";"-";"";"";"919";"919";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Argila para Cerâmica  Branca (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Abadia de Goiás";"Produção de Argila para Cerâmica Vermelha (t)";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
